application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.8446719630253628,0.04553668914706714
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.7929100078044412,0.04060148411342401
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8879569743928957,0.03461565285287357
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.24553566956756154,0.2041528440203316
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.792179396382603,0.045541168742900984
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.6504394952760074,0.04166987747463357
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8544280074237741,0.03851699719308734
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.24553566956756154,0.2041528440203316
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.8733463258128924,0.040513848443957085
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.8463396987144687,0.04188318814116819
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.8833397289560021,0.040787980387040165
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.24507896248364833,0.20362814047836286
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.837623820228581,0.04166107119190247
cap mat.,100,1020,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.837623820228581,0.04166107119190247
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.837623820228581,0.04166107119190247
cap mat.,100,1020,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5565938713461338,0.0440129436148416
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9195178366632646,0.004537293028062485
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.909029046403502,0.004816781070105578
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9518623989094358,0.0039013840331191796
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.6174040057739557,0.006091547720598417
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8910141039456088,0.005025509653117194
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8563363294277495,0.005818879287757802
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9425834728536258,0.004043312990060179
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.8538666997646724,0.004692990531161349
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9303965520386478,0.004091380954700407
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9121522571285681,0.004262392410605743
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9583299233853169,0.0035338437757177024
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.7201751880830171,0.029927642307975046
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9680533795706633,0.0027902949691470023
cap wear,100,11058,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9680533795706633,0.0027902949691470023
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9680533795706633,0.0027902949691470023
cap wear,100,11058,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.9303791328180538,0.003974588543150725
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.590516231719733,0.03181773347919641
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.5905454992100577,0.031823545326450445
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.5905703006292942,0.03176891457702373
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.5740947359328158,0.03020739987962896
