application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8593034292847883,0.07967454049046845
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8158468976824454,0.08912600535230249
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9077389663386637,0.06097419634733544
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.32627487887314194,0.20707535067387986
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8578314441682857,0.07430461766287566
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6608541953487541,0.0852001927191922
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9240293450198159,0.05296547771768113
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.32432967096262644,0.2066242053193393
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8248388970519036,0.08391311192236217
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.8209928020674215,0.08284440816426672
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8696607688270945,0.0716589758884466
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.33028004037555614,0.20983403401535317
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7946098025059182,0.08779895787884345
cap mat.,100,495,0.25,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7946098025059182,0.08779895787884345
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.7946098025059182,0.08779895787884345
cap mat.,100,495,0.25,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.5119208377082513,0.04480958327128669
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9162187763691716,0.0072164370248047945
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9096972613201263,0.007209728984519585
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9383003335313576,0.0064503015082491184
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.5907492846408402,0.022588690412367586
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8921794164371952,0.007308049238211052
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8612976150114132,0.007925469343359736
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9333947486228661,0.0064314997950482514
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.8171478729630175,0.0076357912054036
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9241067642890135,0.006018058318798797
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.9154658741845778,0.006731398594071362
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9473676131885409,0.0053073799957512975
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.4614863742970497,0.046552773704750125
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.970604661876628,0.0034780617773980237
cap wear,100,5442,0.25,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.970604661876628,0.0034780617773980237
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.970604661876628,0.0034780617773980237
cap wear,100,5442,0.25,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.9122777636919395,0.0067140189978191185
sg mat.,100,502,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.5285339636803338,0.04418822971242467
sg mat.,100,502,0.25,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.5272710350190466,0.04418855698033842
sg mat.,100,502,0.25,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.5281689730210909,0.04435417129600372
