name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.01}",0.7461735725107587,0.009879757627703576,0.7460339613863689,0.009913102758082028
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.7082284164304817,0.010508105060563424,0.7085833914863922,0.010564565544666346
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.7110231225632729,0.011199514378051102,0.711432891370086,0.011259843878667842
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.7123754152331659,0.011608586399298541,0.7127645964177717,0.011615469032725265
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.6352214672243323,0.0123300098996998,0.6408699697604094,0.011588409126443204
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.6582329788298196,0.012764701065650854,0.6621423586880669,0.012035626579444484
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.6656821591752723,0.013884166749178911,0.6695801349150965,0.013119514381482865
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.01}",0.747717177273676,0.00871645422237212,0.7473133286810888,0.008816157158610536
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.7242908239113299,0.010867559772749788,0.7246336357292393,0.010885805276474609
Concrete Tool Wear,hamming,0.1,0.5,275,20,120,0.5,2756,16,1672892395.8375726,2866,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.7260657929547845,0.01138822945220999,0.7263665968829961,0.011392129311372231
